"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-117.908568,53.195102,"cdc,cdround","CAN",NA,"PRESENT",10,"iNaturalist","4405059154","https://www.inaturalist.org/observations/180324771","HUMAN_OBSERVATION",2023,8,24,"2023-08-24T10:22:00","WGS84","iNaturalist research-grade observations","180324771"
"Eurybia conspicua",-115.508575,52.499394,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4405231273","https://www.inaturalist.org/observations/180325576","HUMAN_OBSERVATION",2023,8,26,"2023-08-26T13:33:55","WGS84","iNaturalist research-grade observations","180325576"
"Eurybia conspicua",-114.694092,50.946442,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4405472200","https://www.inaturalist.org/observations/180453941","HUMAN_OBSERVATION",2023,8,26,"2023-08-26T13:25:00","WGS84","iNaturalist research-grade observations","180453941"
"Eurybia conspicua",-119.128846,52.450164,"cdc,cdround","CAN",NA,"PRESENT",59,"iNaturalist","4414276785","https://www.inaturalist.org/observations/183154650","HUMAN_OBSERVATION",2023,9,13,"2023-09-13T14:13:09","WGS84","iNaturalist research-grade observations","183154650"
"Eurybia conspicua",-119.612343,49.027493,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","3872872685","https://www.inaturalist.org/observations/119548978","HUMAN_OBSERVATION",2022,5,23,"2022-05-23T12:16:00","WGS84","iNaturalist research-grade observations","119548978"
"Eurybia conspicua",-119.348306,50.133422,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","3858331059","https://www.inaturalist.org/observations/119824903","HUMAN_OBSERVATION",2022,5,26,"2022-05-26T08:31:00","WGS84","iNaturalist research-grade observations","119824903"
"Eurybia conspicua",-119.60775,49.024895,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","3988502585","https://www.inaturalist.org/observations/139353221","HUMAN_OBSERVATION",2022,5,23,"2022-05-23T10:06:00","WGS84","iNaturalist research-grade observations","139353221"
"Eurybia conspicua",-115.724075,51.188038,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","4028610740","https://www.inaturalist.org/observations/119916725","HUMAN_OBSERVATION",2022,6,2,"2022-06-02T13:19:06","WGS84","iNaturalist research-grade observations","119916725"
"Eurybia conspicua",-114.50122,51.190312,"cdc,cdround","CAN",NA,"PRESENT",42,"iNaturalist","3961340471","https://www.inaturalist.org/observations/120896680","HUMAN_OBSERVATION",2022,6,7,"2022-06-07T20:26:40","WGS84","iNaturalist research-grade observations","120896680"
"Eurybia conspicua",-113.602578,53.501869,"cdc,cdround","CAN",NA,"PRESENT",21,"iNaturalist","3859808323","https://www.inaturalist.org/observations/121359991","HUMAN_OBSERVATION",2022,6,11,"2022-06-11T16:03:00","WGS84","iNaturalist research-grade observations","121359991"
